Gmt time,Open,High,Low,Close,Volume,trade_count,vwap
2020-07-27 04:00:00+00:00,1433.52,1546.99,1417.26,1542.59,86492,1441,1487.812076
2020-07-28 04:00:00+00:00,1500.805,1564.325,1477.45,1479.35,77486,1368,1515.340439
2020-07-29 04:00:00+00:00,1498.09,1533.31,1492.2,1499.28,49589,922,1509.297514
2020-07-30 04:00:00+00:00,1482.055,1513.24,1473.42,1487.5,49434,1266,1491.775116
2020-07-31 04:00:00+00:00,1506.41,1511.65,1421.115,1431.66,127894,1778,1468.216045
2020-08-03 04:00:00+00:00,1450.18,1508.4,1444.69,1485.11,55401,1000,1478.83514
2020-08-04 04:00:00+00:00,1496.91,1527.22,1464.36,1487.54,80533,1185,1495.973252
2020-08-05 04:00:00+00:00,1493.885,1497.16,1470.22,1486.3,47298,826,1485.568996
2020-08-06 04:00:00+00:00,1488.31,1516.59,1477.885,1491.3,47420,766,1496.055985
2020-08-07 04:00:00+00:00,1498.26,1499.34,1415.49,1453.46,95459,1374,1451.077182
2020-08-10 04:00:00+00:00,1445.275,1455.74,1388.19,1419.81,58043,982,1421.020754
2020-08-11 04:00:00+00:00,1393.34,1418.71,1368.76,1373.1,46580,762,1390.146345
2020-08-12 04:00:00+00:00,1467.925,1584.96,1438.17,1554.34,149372,2507,1528.065367
2020-08-13 04:00:00+00:00,1613.92,1650.28,1570.13,1621.05,102314,1793,1620.424703
2020-08-14 04:00:00+00:00,1663.0,1667.5,1628.205,1650.71,67611,1179,1646.321546
2020-08-17 04:00:00+00:00,1673.14,1845.255,1673.14,1834.57,141043,2373,1777.590053
2020-08-18 04:00:00+00:00,1897.02,1923.6,1848.34,1889.045,145068,3444,1891.032572
2020-08-19 04:00:00+00:00,1860.56,1910.96,1845.19,1878.94,78322,1985,1886.246972
2020-08-20 04:00:00+00:00,1860.0,2021.86,1860.0,2001.07,181286,3291,1973.139021
2020-08-21 04:00:00+00:00,2045.15,2095.43,2027.62,2049.485,267749,4182,2066.655762
2020-08-24 04:00:00+00:00,2126.96,2127.88,1938.92,2015.02,144621,3256,2032.158816
2020-08-25 04:00:00+00:00,1973.295,2026.245,1969.1,2024.365,86297,1527,2000.328691
2020-08-26 04:00:00+00:00,2060.94,2165.555,2056.33,2151.67,126518,1941,2122.367925
2020-08-27 04:00:00+00:00,2182.55,2293.74,2143.27,2237.825,190403,2818,2231.649341
2020-08-28 04:00:00+00:00,2294.2,2318.455,2186.81,2215.57,180307,2697,2239.28675
2020-08-31 04:00:00+00:00,444.69,500.02,440.26,498.71,1430913,20081,478.687915
2020-09-01 04:00:00+00:00,502.205,502.205,471.0,475.045,1188112,17758,483.757308
2020-09-02 04:00:00+00:00,478.775,478.775,405.21,447.425,876924,12428,441.709721
2020-09-03 04:00:00+00:00,407.485,431.29,402.02,407.115,779391,10154,413.556184
2020-09-04 04:00:00+00:00,402.67,427.65,372.53,418.39,1131942,14971,404.112389
2020-09-08 04:00:00+00:00,355.48,368.37,330.0,330.1,1302183,16266,347.915953
2020-09-09 04:00:00+00:00,357.39,368.84,341.58,366.1,681218,9469,356.092008
2020-09-10 04:00:00+00:00,386.59,398.73,360.785,371.2,614295,7059,383.369687
2020-09-11 04:00:00+00:00,381.96,382.05,360.61,372.85,353424,4464,370.821636
2020-09-14 04:00:00+00:00,381.14,419.86,373.61,419.63,656826,6161,396.208229
2020-09-15 04:00:00+00:00,436.83,461.89,430.85,450.27,678254,9076,445.285337
2020-09-16 04:00:00+00:00,439.25,457.63,436.0,442.05,287798,4293,445.532188
2020-09-17 04:00:00+00:00,415.2,437.595,409.05,423.16,453433,5241,423.851237
2020-09-18 04:00:00+00:00,447.835,450.61,429.26,441.69,469658,5405,442.511449
2020-09-21 04:00:00+00:00,452.86,455.52,407.57,449.44,514833,6605,441.114963
2020-09-22 04:00:00+00:00,429.21,437.75,417.85,423.93,289215,4003,426.957127
2020-09-23 04:00:00+00:00,405.505,411.785,376.01,380.005,581867,7999,391.955874
2020-09-24 04:00:00+00:00,363.63,399.28,351.62,387.6,583193,8159,380.77199
2020-09-25 04:00:00+00:00,393.19,408.565,391.65,407.29,317829,4042,402.760917
2020-09-28 04:00:00+00:00,424.775,427.77,415.7,420.97,271077,3283,420.198744
2020-09-29 04:00:00+00:00,416.0,428.2,411.76,418.99,181837,2413,419.49317
2020-09-30 04:00:00+00:00,421.31,433.43,420.6,429.29,271753,3999,428.997171
2020-10-01 04:00:00+00:00,440.835,448.87,434.56,447.935,1415489,16267,441.905276
2020-10-02 04:00:00+00:00,421.17,438.95,415.0,415.0,1820704,21932,425.49481
2020-10-05 04:00:00+00:00,422.865,433.63,419.33,425.45,1244477,15400,425.619509
2020-10-06 04:00:00+00:00,423.51,428.73,406.13,413.905,1542741,24003,417.752631
2020-10-07 04:00:00+00:00,420.1,429.87,413.92,425.21,1184711,15132,423.336823
2020-10-08 04:00:00+00:00,438.69,438.81,425.3,425.865,1162517,14829,432.022088
2020-10-09 04:00:00+00:00,430.3,434.55,426.58,433.885,831245,10002,431.87698
2020-10-12 04:00:00+00:00,441.82,448.69,438.58,442.08,1411451,16325,443.408105
2020-10-13 04:00:00+00:00,443.57,448.89,436.75,446.83,1381485,15943,444.915458
2020-10-14 04:00:00+00:00,449.8,465.79,447.38,461.32,1975185,24169,459.866121
2020-10-15 04:00:00+00:00,450.31,456.42,442.54,448.94,1300516,16344,448.625292
2020-10-16 04:00:00+00:00,454.2,455.81,438.85,439.74,1071093,12648,447.704346
2020-10-19 04:00:00+00:00,446.4,446.65,428.9,430.865,2015400,18828,439.094487
2020-10-20 04:00:00+00:00,431.6,431.6,419.09,421.84,1267236,15301,423.907856
2020-10-21 04:00:00+00:00,422.58,432.95,421.3,422.26,1024215,12725,427.134521
2020-10-22 04:00:00+00:00,441.9,445.0,424.6,425.97,1467415,17244,430.83966
2020-10-23 04:00:00+00:00,421.84,422.74,407.41,420.42,1135399,15590,413.802385
2020-10-26 04:00:00+00:00,411.505,425.7,410.0,420.4,296168,4035,417.435851
2020-10-27 04:00:00+00:00,423.905,430.435,420.51,424.61,199254,2808,424.743491
2020-10-28 04:00:00+00:00,415.53,418.41,406.03,406.34,266670,3935,410.875656
2020-10-29 04:00:00+00:00,409.95,418.035,406.86,410.96,223656,3098,411.851806
2020-10-30 04:00:00+00:00,406.75,406.935,379.15,388.25,573208,7181,388.142168
2020-11-02 05:00:00+00:00,394.0,406.76,392.51,401.0,274298,3894,398.557965
2020-11-03 05:00:00+00:00,409.94,427.72,406.86,423.75,365498,4721,421.821118
2020-11-04 05:00:00+00:00,430.99,435.26,417.33,420.22,237258,3606,423.081277
2020-11-05 05:00:00+00:00,428.525,440.0,424.715,438.06,185064,3424,433.483891
2020-11-06 05:00:00+00:00,436.065,436.515,424.75,429.9,258378,3503,429.821964
2020-11-09 05:00:00+00:00,439.55,452.35,421.16,421.16,411616,5079,439.790145
2020-11-10 05:00:00+00:00,420.09,420.09,396.07,410.62,368287,5167,408.089844
2020-11-11 05:00:00+00:00,416.56,418.6,411.09,416.93,210055,3165,415.332629
2020-11-12 05:00:00+00:00,415.1,423.0,409.57,411.91,167423,2670,415.438942
2020-11-13 05:00:00+00:00,410.79,412.44,401.79,408.44,256077,3424,406.230857
2020-11-16 05:00:00+00:00,410.22,412.28,404.21,407.94,440642,5574,407.720355
2020-11-17 05:00:00+00:00,460.34,461.75,433.38,441.52,693483,11308,447.512453
2020-11-18 05:00:00+00:00,448.08,495.87,443.87,486.64,683709,10527,475.502893
2020-11-19 05:00:00+00:00,492.02,508.41,487.57,499.2,591715,9863,500.12322
2020-11-20 05:00:00+00:00,497.99,501.99,489.1,489.13,289158,4273,493.746
2020-11-23 05:00:00+00:00,503.315,525.83,502.065,521.48,367979,5468,519.596149
2020-11-24 05:00:00+00:00,540.7,559.94,526.41,555.66,537562,8269,546.033025
2020-11-25 05:00:00+00:00,550.07,573.985,545.68,573.985,327792,4850,559.745478
2020-11-27 05:00:00+00:00,581.35,598.62,578.55,585.55,328916,5086,591.074419
2020-11-30 05:00:00+00:00,602.5,607.24,554.8,566.51,474354,8112,581.043049
2020-12-01 05:00:00+00:00,597.14,597.43,572.37,584.875,427000,5992,583.260562
2020-12-02 05:00:00+00:00,552.81,571.08,541.57,568.0,434701,8272,558.638753
2020-12-03 05:00:00+00:00,590.87,598.78,582.55,593.09,376819,9315,591.579666
2020-12-04 05:00:00+00:00,591.625,598.98,586.58,598.95,232102,3971,593.235695
2020-12-07 05:00:00+00:00,604.76,648.53,603.64,642.1,449462,6855,629.706283
2020-12-08 05:00:00+00:00,624.99,651.2,618.85,649.84,575933,7466,635.810537
2020-12-09 05:00:00+00:00,653.86,654.31,588.9,604.47,961677,14700,618.474608
2020-12-10 05:00:00+00:00,574.37,627.67,567.21,627.67,620701,9668,610.345702
2020-12-11 05:00:00+00:00,615.01,623.88,596.97,609.99,443977,6326,610.845557
2020-12-14 05:00:00+00:00,618.685,642.655,610.27,639.55,731937,12818,633.658858
2020-12-15 05:00:00+00:00,643.55,646.74,623.98,632.74,705119,9937,635.20669
2020-12-16 05:00:00+00:00,628.8,631.58,605.0,622.535,518267,8350,618.6878
2020-12-17 05:00:00+00:00,628.59,658.74,619.54,655.54,627109,9349,641.658639
