;Close;Volume;EMA_5;EMA_20;EMA_50;EMA_100;EMA_5_slope_pct;EMA_20_slope_pct;EMA_5_x_EMA_20_diff;EMA_20_x_EMA_50_diff;MACD_hist;MACD_diff;MACD_slope;BB_Width;BB_Percent_b;OBV_slope;OBV_momentum;Donchian_Close_HighPct;Donchian_Close_LowPct;Engulfing_strength;Engulfing_direction;RSI_norm;ADX;ADX_Slope;Vol_Ratio;Avg_Trade_Size;Trade_Count_Norm_5;Close_VWAP_Diff
564;1.363559354915898;0.38200611908469945;1.3456433447839284;1.5073546175547299;1.699931889530241;1.729592258401354;0.38511183133543986;-0.72526958456595;-0.8582168952468828;-0.8455276054266215;0.34997470125480384;0.34997470125480384;0.5352454566238948;0.04276599295781763;0.6221989076083926;0.6217994570576022;1.06892025794925;0.6759479459239601;0.08413244174481499;0.6642442937275127;0.9254836766588604;-0.05497308747712738;-0.3018230822824535;-1.1785831238566147;-0.4289445201927571;-1.2259096480717775;-0.26187015362488564;1.1936362163854242
565;1.4631509175442337;1.0127650295711776;1.3955436701354593;1.5181152352114393;1.706293241347212;1.7403026659660312;0.37697289790953076;-0.5930726214376807;-0.5854417380235338;-0.8121726225965947;0.806795195505412;0.806795195505412;1.2722352609508547;-0.0416148391987268;1.0707853355265857;1.9882506171779206;1.664856505218011;1.166018265816303;0.420865300494116;1.5762115940014934;0.9254836766588604;0.3527471685641229;-0.41723247456630264;-1.3025823969111532;0.2154411047198483;-1.029253050006383;0.3819036300741854;1.3261549324701196
566;1.623665810383758;0.976533640626188;1.4830672179257052;1.5441839421869052;1.7197788148102502;1.7550771972692683;0.6047467713687771;-0.35965097773241866;-0.15992119821794745;-0.7198009670600702;1.6074812050209788;1.6074812050209788;2.367777046178186;0.22915955605565516;1.5035912855709352;1.8278265494077857;2.0105194661411443;1.0736709399646787;0.9635883717185482;3.4687151644948684;0.9254836766588604;0.8427541364158193;-0.460129626917602;-0.48929398172669897;0.16949917481877627;-1.2771740892174035;0.5268572025939597;1.5434442081719977
567;1.6169892810455457;0.6127480567358771;1.5391594734577208;1.5670905566878424;1.732428837793853;1.7693812969334488;0.9342312922874608;-0.06638443427705065;0.06727731874788455;-0.6444287132579585;1.7514378008343157;1.7514378008343157;1.5069708822111747;0.4801235586136638;1.0093445193466057;0.9333481092367647;1.0108984277254662;0.9116358799522926;0.9410141018582602;-1.3585403196621437;-1.0839569089634598;0.7950810530436826;-0.4899025841217469;-0.34209461398231056;-0.1173529008334634;-1.1790157382802604;-0.11433994096331375;1.5277550725398863
568;1.4987590740147;0.8987807178558018;1.5365905630014434;1.5757852824942027;1.7391515566096507;1.7802524249463754;0.8127237339906346;0.03946724830703041;-0.007235698083802731;-0.6281520666067845;1.0831652525471094;1.0831652525471094;-0.1805819783603335;0.10380692321069757;0.22012327609697405;0.9370001018740182;0.07735098284804605;0.2429776043651315;0.43098995316642874;1.463072793591564;-1.0839569089634598;0.0018765480091946772;-0.5854941351130065;-1.0803079126003723;0.12849036021767488;-1.253459070024594;0.23386640971712516;1.3554423438379988
569;1.4381139325259369;0.5942894698028943;1.5143789043832474;1.577481099677956;1.7428247405368562;1.7892926609109685;0.551115612378734;0.04807673738566701;-0.16695722934515936;-0.6399062820612563;0.35496186594569257;0.35496186594569257;-0.8047959508981344;0.027464911699012717;-0.2623601224804963;0.026765426742043213;-0.7607391170878275;-0.10000475817134286;-0.07040650293316235;1.8419163525399724;-1.0839569089634598;-0.3413790795080833;-0.6907811283713674;-1.1890508073621096;-0.1333214939805714;-1.3655272153212887;-0.13049688424237169;1.2649516606818072
570;1.320161914217517;1.2816626686556027;1.459701416840502;1.5670134107053058;1.7409354325529818;1.7950115712599994;-0.016945526160418396;-0.13933641284710652;-0.4658907796569821;-0.6986603648344953;-0.5766219394511231;-0.5766219394511231;-1.7898777122459333;0.0836032590847506;-1.0204781658547017;-0.8990474514614716;-1.6566623686134454;-0.7670897201688863;-0.45007725200794774;1.4819292603265546;-1.0839569089634598;-0.9034516616876598;-0.7121292261388457;-0.24760242086054288;0.41036536362854026;-1.062223026669455;0.2294821798993552;1.0928970076623132
571;1.2801027381882424;1.4635204855697888;1.4097091005097835;1.5534664936307643;1.7372799883106167;1.7995500358830143;-0.7266237297235946;-0.48514949737626784;-0.7160696410066912;-0.767217325381912;-1.1647976811089709;-1.1647976811089709;-1.717273958412566;0.052955325396653374;-1.3183840894746208;-1.00299716232348;-2.448158176466666;-0.9936468770737124;-0.619319325790505;-1.9619472551817725;0.9254836766588604;-1.0704512530809664;-0.6722825809472638;0.4387503323448289;0.40595090608189494;-1.2542308863321514;0.6650690405921529;1.0297608675444638
572;1.2876138336937313;0.707293109081275;1.3789197629918042;1.5419740374212239;1.7341129373417903;1.8041987299150344;-1.1502089613188249;-0.7798860359916694;-0.8515325378140358;-0.825102450335852;-1.3216241333691652;-1.3216241333691652;-1.1977203730660437;0.11962602742750696;-1.200390823217678;-0.9237702198821561;-1.6646326100608047;-0.951167410154058;-0.5952711074442275;1.2916503687280334;0.9254836766588604;-1.0117044282563954;-0.6462083302546631;0.2842808399420224;-0.2503627870182402;-1.2383221599959089;-0.3938165522488099;1.0351340119169223
573;1.3667585252237913;0.6307142500955992;1.3851457407030725;1.5396293294618597;1.734705810251562;1.8108638316646277;-1.1072610891119221;-0.8732411013458679;-0.794431207290898;-0.8446844245247964;-0.945538833782004;-0.945538833782004;-0.13641073874866683;0.11669364770278041;-0.6836072850543224;-0.8738742375957008;-0.9191227824463953;-0.5035596939080644;-0.34187414005474437;0.9436628462550665;0.9254836766588604;-0.413073273416007;-0.674827181265648;-0.32915030006147744;-0.28086846474164856;-1.20660688083046;-0.46459078573618406;1.1407725222921719
574;1.2592385840063285;1.2695599363702232;1.3529528903927015;1.5265674248845853;1.7303362134814875;1.8145325568199073;-1.1637883487127474;-0.9987018639163986;-0.9305887161230569;-0.9058348832120823;-1.1738928852648984;-1.1738928852648984;-1.1942785905190454;0.28060929820037306;-1.1632474585323607;-1.8859238919079624;-1.6538057365795211;-1.111645396294976;-0.6861199323079434;0.0882649461860529;0.9254836766588604;-1.0069256701813831;-0.6839659635914985;-0.11066423200794373;0.22755959584448499;-1.2192933689875465;0.24652129168070913;0.9838363728920336
