Gmt time,Open,High,Low,Close,Volume
06.08.2024 13:00:00.000,27.028,27.408,25.557,25.958,548.88
06.08.2024 14:00:00.000,25.948,26.828,25.897,26.748,733.32
06.08.2024 15:00:00.000,26.748,27.218,26.658,27.168,335.16
06.08.2024 16:00:00.000,27.178,27.387,27.087,27.308,167.88
06.08.2024 17:00:00.000,27.308,27.338,26.748,26.958,251.76
06.08.2024 18:00:00.000,26.968,27.258,26.908,26.908,109.32
06.08.2024 19:00:00.000,26.918,26.968,26.508,26.568,187.56
07.08.2024 13:00:00.000,26.968,27.707,26.808,27.268,594.12
07.08.2024 14:00:00.000,27.258,28.188,27.147,28.188,974.88
07.08.2024 15:00:00.000,28.198,28.348,27.947,28.208,692.52
07.08.2024 16:00:00.000,28.198,28.348,27.788,27.838,600.48
07.08.2024 17:00:00.000,27.828,27.918,27.048,27.098,641.64
07.08.2024 18:00:00.000,27.088,27.118,26.667,26.768,707.64
07.08.2024 19:00:00.000,26.768,27.088,26.237,26.328,599.28
08.08.2024 13:00:00.000,26.978,27.448,26.608,27.368,334.68
08.08.2024 14:00:00.000,27.368,28.238,27.347,28.238,812.64
08.08.2024 15:00:00.000,28.228,28.748,28.108,28.568,431.52
08.08.2024 16:00:00.000,28.568,28.938,28.328,28.938,417.84
08.08.2024 17:00:00.000,28.948,29.368,28.797,29.058,315.84
08.08.2024 18:00:00.000,29.048,29.268,28.987,29.057,243.72
08.08.2024 19:00:00.000,29.048,29.308,28.858,29.268,261.12
09.08.2024 13:00:00.000,29.298,29.768,29.238,29.318,578.04
09.08.2024 14:00:00.000,29.318,29.728,29.098,29.497,807.96
09.08.2024 15:00:00.000,29.498,29.978,29.497,29.838,536.04
09.08.2024 16:00:00.000,29.848,30.188,29.838,30.068,293.16
09.08.2024 17:00:00.000,30.078,30.278,29.998,30.188,253.32
09.08.2024 18:00:00.000,30.188,30.348,30.037,30.147,244.2
09.08.2024 19:00:00.000,30.158,30.168,29.887,30.008,173.4
12.08.2024 13:00:00.000,30.228,31.188,29.978,30.018,637.8
12.08.2024 14:00:00.000,30.028,30.168,29.498,29.658,777.72
12.08.2024 15:00:00.000,29.657,29.878,29.347,29.758,655.32
12.08.2024 16:00:00.000,29.748,29.778,29.508,29.508,384.12
12.08.2024 17:00:00.000,29.498,29.788,29.478,29.678,315.0
12.08.2024 18:00:00.000,29.678,29.768,29.558,29.588,197.16
12.08.2024 19:00:00.000,29.578,29.578,29.267,29.358,96.48
13.08.2024 13:00:00.000,29.648,30.648,29.547,30.517,498.24
13.08.2024 14:00:00.000,30.518,30.818,30.168,30.768,691.44
13.08.2024 15:00:00.000,30.748,30.838,30.238,30.238,360.84
13.08.2024 16:00:00.000,30.238,30.548,30.138,30.478,319.56
13.08.2024 17:00:00.000,30.488,30.488,29.848,30.138,327.12
13.08.2024 18:00:00.000,30.118,30.238,30.007,30.138,191.4
13.08.2024 19:00:00.000,30.128,30.408,30.067,30.358,121.68
14.08.2024 13:00:00.000,30.658,31.028,30.318,30.588,460.08
14.08.2024 14:00:00.000,30.597,31.058,30.398,30.848,735.96
14.08.2024 15:00:00.000,30.848,31.328,30.817,31.327,219.72
14.08.2024 16:00:00.000,31.338,31.358,30.957,31.138,260.88
14.08.2024 17:00:00.000,31.128,31.178,30.808,30.888,213.12
14.08.2024 18:00:00.000,30.878,30.978,30.708,30.978,167.64
14.08.2024 19:00:00.000,30.968,30.988,30.807,30.978,82.32
15.08.2024 13:00:00.000,31.308,31.438,30.907,31.268,534.0
15.08.2024 14:00:00.000,31.278,31.478,31.067,31.108,465.12
15.08.2024 15:00:00.000,31.098,31.198,30.818,31.148,245.64
15.08.2024 16:00:00.000,31.138,31.158,30.908,30.968,134.04
15.08.2024 17:00:00.000,30.958,31.228,30.938,31.188,80.64
15.08.2024 18:00:00.000,31.188,31.238,31.108,31.218,70.8
15.08.2024 19:00:00.000,31.208,31.308,31.138,31.208,42.6
16.08.2024 13:00:00.000,31.118,32.028,30.977,31.858,463.56
16.08.2024 14:00:00.000,31.838,32.408,31.828,32.038,529.08
16.08.2024 15:00:00.000,32.028,32.268,31.808,32.198,289.32
16.08.2024 16:00:00.000,32.188,32.738,32.168,32.468,202.56
16.08.2024 17:00:00.000,32.498,32.558,32.248,32.278,150.12
16.08.2024 18:00:00.000,32.258,32.327,32.068,32.258,92.64
16.08.2024 19:00:00.000,32.238,32.328,31.957,32.058,75.48
19.08.2024 13:00:00.000,32.318,32.438,31.878,32.248,582.6
19.08.2024 14:00:00.000,32.248,32.578,31.948,32.218,616.08
19.08.2024 15:00:00.000,32.208,32.268,31.838,31.868,278.04
19.08.2024 16:00:00.000,31.868,32.248,31.807,32.168,217.68
19.08.2024 17:00:00.000,32.158,32.358,32.108,32.297,133.44
19.08.2024 18:00:00.000,32.298,32.438,32.238,32.278,72.48
19.08.2024 19:00:00.000,32.268,32.488,32.228,32.468,63.0
