Gmt time,Open,High,Low,Close,Volume
02.01.2025 00:00:00.000,248.866,249.026,241.807,243.787,662.16
03.01.2025 00:00:00.000,243.337,244.156,241.886,243.327,409.932
06.01.2025 00:00:00.000,244.197,247.307,243.856,245.007,618.636
07.01.2025 00:00:00.000,244.926,245.526,241.336,242.226,440.868
08.01.2025 00:00:00.000,241.917,243.677,240.046,242.617,720.624
10.01.2025 00:00:00.000,239.896,240.066,232.996,236.847,609.708
13.01.2025 00:00:00.000,233.527,234.657,229.696,234.367,622.884
14.01.2025 00:00:00.000,234.666,236.097,232.456,233.297,456.516
15.01.2025 00:00:00.000,234.506,238.507,234.416,237.766,341.736
16.01.2025 00:00:00.000,237.487,237.986,228.006,228.217,694.992
17.01.2025 00:00:00.000,231.936,232.067,228.476,229.707,476.004
21.01.2025 00:00:00.000,224.087,224.367,219.366,222.527,553.5
22.01.2025 00:00:00.000,219.767,223.966,219.766,223.756,418.392
23.01.2025 00:00:00.000,224.717,227.007,222.296,223.597,437.136
24.01.2025 00:00:00.000,224.886,225.587,221.396,222.797,532.356
27.01.2025 00:00:00.000,223.927,232.117,223.926,229.756,701.484
28.01.2025 00:00:00.000,230.847,240.157,230.847,238.227,590.124
29.01.2025 00:00:00.000,234.097,239.837,234.027,239.327,625.74
30.01.2025 00:00:00.000,238.766,240.757,237.197,237.537,454.572
31.01.2025 00:00:00.000,246.996,247.137,233.427,235.777,685.068
03.02.2025 00:00:00.000,229.906,231.786,225.696,227.927,685.104
04.02.2025 00:00:00.000,227.146,233.106,226.636,232.717,373.788
05.02.2025 00:00:00.000,228.297,232.637,228.286,232.396,379.176
06.02.2025 00:00:00.000,231.247,233.767,230.406,233.127,327.948
07.02.2025 00:00:00.000,232.507,233.957,227.257,227.637,673.212
10.02.2025 00:00:00.000,229.506,230.557,227.177,227.607,306.432
11.02.2025 00:00:00.000,228.127,235.216,228.127,232.606,427.956
12.02.2025 00:00:00.000,231.147,236.906,230.627,236.827,602.616
13.02.2025 00:00:00.000,236.917,242.326,235.566,241.466,493.176
14.02.2025 00:00:00.000,241.197,245.307,240.967,244.907,477.024
18.02.2025 00:00:00.000,243.997,245.157,241.826,244.367,371.112
19.02.2025 00:00:00.000,244.617,245.946,243.156,244.776,318.96
20.02.2025 00:00:00.000,244.757,246.736,244.266,245.857,456.12
21.02.2025 00:00:00.000,245.856,248.666,245.206,245.556,535.788
24.02.2025 00:00:00.000,244.836,248.807,244.447,247.186,514.944
25.02.2025 00:00:00.000,247.916,249.927,244.906,247.017,609.636
26.02.2025 00:00:00.000,244.236,244.897,239.116,240.267,568.692
27.02.2025 00:00:00.000,239.406,242.447,237.036,237.417,619.968
28.02.2025 00:00:00.000,236.906,242.067,234.597,241.237,609.36
03.03.2025 00:00:00.000,241.766,243.966,236.096,238.187,888.432
04.03.2025 00:00:00.000,237.747,240.027,234.676,235.897,1090.956
05.03.2025 00:00:00.000,235.417,236.507,229.216,235.687,714.44152
06.03.2025 00:00:00.000,234.397,237.837,233.287,235.216,1003.392
07.03.2025 00:00:00.000,235.057,241.327,234.756,238.966,895.2
10.03.2025 00:00:00.000,235.476,236.036,224.216,227.517,1266.312
11.03.2025 00:00:00.000,223.777,225.797,217.347,220.847,1478.904
12.03.2025 00:00:00.000,220.097,221.727,214.897,216.886,985.224
13.03.2025 00:00:00.000,215.937,216.777,208.406,209.686,829.296
14.03.2025 00:00:00.000,211.156,213.917,209.556,213.286,639.372
17.03.2025 00:00:00.000,213.296,215.196,209.956,214.026,643.224
18.03.2025 00:00:00.000,214.097,215.107,211.397,212.796,804.396
19.03.2025 00:00:00.000,214.106,218.727,213.736,215.267,653.736
20.03.2025 00:00:00.000,213.827,217.467,212.196,214.057,714.588
21.03.2025 00:00:00.000,211.376,218.826,211.376,218.247,618.72
24.03.2025 00:00:00.000,220.786,220.966,218.536,220.336,405.444
25.03.2025 00:00:00.000,220.777,224.086,220.046,223.707,359.832
26.03.2025 00:00:00.000,223.446,224.976,220.466,221.416,452.448
