Close,High,Low,trade_count,Open,Volume,vwap
244.6,245.41,241.21,14743,241.21,1220858,243.98602
244.45,245.15,241.885,15707,244.12,1233762,243.836702
244.9,246.0,243.18,9829,244.67,714274,244.669407
245.84,246.66,244.31,13053,244.925,930650,245.583091
245.68,248.69,245.23,19264,245.91,1444119,246.533569
247.195,248.84,244.53,17525,244.925,1414000,247.364655
247.15,250.0,244.94,22146,247.97,1758675,247.572112
240.38,244.935,239.13,18674,244.3,1375162,242.020716
237.49,242.46,237.16,18753,239.65,1530603,239.844801
241.37,242.08,234.68,22987,237.055,1526227,238.20951
238.095,244.01,236.15,17246,241.8,1341972,240.057543
236.03,240.045,234.7,24046,238.12,1996015,237.777054
235.65,236.53,229.24,17642,235.69,1329895,233.463412
235.35,237.83,233.35,21976,234.46,1877160,235.188046
239.0,241.34,234.86,22467,235.08,1889764,239.125687
227.57,236.15,224.23,32765,235.58,2751093,227.73989
220.92,225.825,217.48,26627,223.65,2426827,221.072997
216.945,221.73,214.93,25116,220.18,2059190,217.647773
209.69,216.795,208.445,23696,215.96,2174496,212.467958
213.36,213.87,209.585,17139,211.29,1460667,212.278227
214.17,215.18,209.98,17598,213.31,1598394,213.093517
212.79,215.13,211.5,15820,214.12,1267492,213.142607
215.32,218.68,213.75,14699,214.21,1228741,215.783959
214.13,217.44,212.22,13158,213.955,1098248,214.570385
218.22,218.84,211.55,16097,211.66,1506309,214.981584
220.34,221.03,218.68,16797,221.0,1325290,219.794359
223.72,224.095,220.09,14509,220.83,986365,222.995961
221.4,225.005,220.52,16345,223.51,1139694,222.739028
223.74,224.99,220.58,14127,221.4,1032394,223.222471
217.82,223.8,217.7,15783,221.665,1154636,219.555864
222.065,224.11,216.25,23699,217.16,2048529,220.084105
223.2,223.48,218.91,17812,219.75,1236713,222.03579
223.8,225.17,221.14,14684,221.315,1160708,223.902474
203.01,207.425,201.255,37160,205.575,3169742,204.060987
188.5,199.87,187.37,51801,193.925,4381706,193.629111
181.58,194.11,174.64,70577,177.31,6095672,180.58336
172.8,190.31,169.255,58288,186.7,4563523,180.203858
198.46,200.57,171.93,79721,172.18,7012998,186.185166
190.63,194.75,183.06,56336,189.065,4357948,189.898656
198.15,199.49,186.21,38549,186.21,2993809,195.081304
202.61,212.87,201.215,39049,211.44,3298316,205.32485
202.14,203.5,199.83,19939,202.01,1578400,202.194516
194.27,200.54,192.38,24030,198.36,1813064,195.970842
196.89,198.82,194.53,17874,197.19,1314801,196.769187
193.25,193.8,189.86,17566,193.11,1282577,191.501666
199.56,201.55,196.035,18576,196.12,1376819,199.11063
204.33,207.94,202.83,23199,206.0,1708419,205.478101
208.2,208.8,202.965,15233,205.05,1120255,206.592145
209.18,209.43,206.44,13303,206.44,964315,208.167869
210.08,211.48,207.48,11714,210.0,831002,209.540984
211.22,212.11,208.39,12785,208.68,819139,211.032769
212.305,213.51,206.68,14242,209.32,939883,210.483736
213.03,214.515,208.98,19329,208.98,1451254,212.228217
205.31,206.99,202.19,30491,206.145,2839089,204.697061
198.86,204.04,198.225,26157,203.09,1924516,199.748293
198.445,200.62,197.36,14263,198.21,1086206,198.874037
196.25,199.4,193.26,19056,199.205,1471338,195.651827
197.45,200.05,194.69,17470,197.75,1416316,197.718037
198.49,200.52,197.54,10814,198.975,767906,198.741644
210.8,211.23,206.75,17783,210.985,1348910,209.287324
212.89,213.38,209.16,14893,210.435,1089189,211.476066
212.3,213.92,210.6,15368,212.34,1020697,212.262328
211.33,212.96,209.55,15270,211.05,1104460,211.263709
211.21,212.42,209.79,10641,212.36,744422,211.188514
208.75,209.47,204.29,16758,207.99,1223105,207.394682
206.87,208.465,205.04,14838,207.85,1178321,207.006112
202.24,207.03,200.75,19802,205.24,1639501,203.591571
201.37,202.65,199.71,17567,200.715,1380855,201.333769
195.3,197.69,193.49,25503,193.75,2131818,196.038808
200.28,200.725,197.435,14188,198.46,1290367,199.313344
200.47,202.72,199.9,8940,200.7,617957,200.960592
199.94,203.72,198.56,14455,203.58,1210966,200.448839
200.64,201.95,196.82,17071,199.345,1240825,199.175373
201.685,202.08,200.13,12047,200.21,839441,201.10868
203.33,203.76,200.955,13011,201.49,933488,202.728475
202.83,206.23,202.215,16740,202.92,1245814,203.892681
200.68,204.74,200.17,24357,203.49,1847413,202.146614
203.96,205.67,202.085,16345,203.01,1171926,204.191839
201.425,206.0,200.045,18263,204.41,1374703,202.540282
202.68,204.33,200.62,13241,200.62,1016332,202.492521
198.82,204.48,198.43,15980,203.31,1352311,200.474283
199.095,199.68,197.37,15545,198.98,1507561,198.54698
196.37,200.3,195.78,14240,199.69,1072719,197.144205
198.42,198.66,196.63,13490,197.31,1084142,197.770438
195.62,198.37,195.22,10645,197.215,799393,196.631963
196.295,197.535,195.07,10932,195.875,917701,196.350945
201.03,201.66,196.86,15216,198.015,1310599,199.409412
201.53,202.29,198.96,13655,201.625,1178964,200.947014
200.3,203.435,200.22,18404,202.59,1698396,201.678329
201.55,203.67,200.67,12190,201.425,973861,201.840543
201.05,202.575,199.46,15576,201.455,1249214,200.568925
201.05,203.2,200.2,16363,201.905,1519293,201.674101
205.17,207.36,199.27,21808,202.02,1874120,202.813913
207.815,210.18,206.2,26586,206.725,2220671,208.213103
212.4,213.32,208.15,20477,208.995,1536101,211.790821
213.5,214.625,211.825,12449,212.17,1215376,213.786901
209.94,216.2,208.835,16271,212.81,1353483,211.424696
210.095,211.43,208.47,13616,210.01,1036309,209.83366
211.13,211.3,207.24,12228,209.51,950117,209.237042
212.36,213.475,210.24,13285,210.51,1139672,212.321411
211.08,212.12,209.87,10497,210.37,813325,210.909104
208.65,210.85,207.57,11484,209.945,853368,208.832094
209.025,211.89,208.965,11486,209.215,777589,210.345489
210.16,212.375,208.66,12431,210.295,974450,210.561821
210.13,211.795,209.61,12402,210.64,1067469,210.697771
211.16,211.78,209.73,10286,210.73,731112,210.762752
