Gmt time,Open,High,Low,Close,Volume
02.01.2025 00:00:00.000,76.238,76.458,72.418,75.178,5718.0
03.01.2025 00:00:00.000,75.318,79.968,75.238,79.838,4180.44
06.01.2025 00:00:00.000,78.868,80.038,74.588,75.937,6581.04
07.01.2025 00:00:00.000,73.718,74.078,69.728,69.997,6057.6
08.01.2025 00:00:00.000,68.138,69.518,66.508,68.238,6676.8
10.01.2025 00:00:00.000,65.928,68.178,65.038,67.248,5987.04
13.01.2025 00:00:00.000,64.108,65.668,63.358,64.968,4870.92
14.01.2025 00:00:00.000,67.158,68.218,65.177,65.888,4729.44
15.01.2025 00:00:00.000,68.368,68.828,67.067,68.118,4975.44
16.01.2025 00:00:00.000,69.077,71.418,68.358,69.208,5567.4
17.01.2025 00:00:00.000,70.718,72.328,69.927,71.718,3800.04
21.01.2025 00:00:00.000,73.108,73.618,70.597,73.078,4111.08
22.01.2025 00:00:00.000,74.508,77.138,73.778,76.838,5126.4
23.01.2025 00:00:00.000,75.918,78.988,75.918,78.978,3743.6778
24.01.2025 00:00:00.000,79.098,82.218,78.417,78.978,5323.4775
27.01.2025 00:00:00.000,74.018,76.688,72.667,75.437,6692.4606
28.01.2025 00:00:00.000,75.518,80.708,74.007,80.217,5141.88
29.01.2025 00:00:00.000,79.797,80.778,77.807,79.728,5116.68
30.01.2025 00:00:00.000,79.908,81.808,79.388,81.198,8470.56
31.01.2025 00:00:00.000,80.918,85.198,80.827,82.478,5142.24
03.02.2025 00:00:00.000,79.888,84.228,78.458,83.858,7196.4
04.02.2025 00:00:00.000,102.678,106.878,100.497,103.758,9022.65
05.02.2025 00:00:00.000,101.818,103.508,99.308,100.927,4996.44
06.02.2025 00:00:00.000,101.018,111.488,100.188,111.278,6679.92
07.02.2025 00:00:00.000,111.678,116.258,110.387,110.828,7357.92
10.02.2025 00:00:00.000,111.988,116.738,108.668,116.647,4999.56
11.02.2025 00:00:00.000,116.418,118.568,112.078,112.628,7202.28
12.02.2025 00:00:00.000,110.158,117.568,109.898,117.378,5406.0
13.02.2025 00:00:00.000,117.208,118.368,115.297,117.888,4695.6
14.02.2025 00:00:00.000,117.718,120.548,116.798,119.308,4782.0
18.02.2025 00:00:00.000,120.898,124.938,118.388,124.607,5418.96
19.02.2025 00:00:00.000,123.947,125.378,108.508,112.077,5453.16
20.02.2025 00:00:00.000,103.198,107.368,95.768,106.108,9155.04
21.02.2025 00:00:00.000,107.538,109.058,100.278,101.328,7084.44
24.02.2025 00:00:00.000,95.878,98.998,89.267,90.738,8447.5608
25.02.2025 00:00:00.000,90.498,91.638,85.228,87.838,9791.76
26.02.2025 00:00:00.000,89.127,91.638,87.568,89.228,6489.24
27.02.2025 00:00:00.000,91.908,93.578,84.137,84.908,6839.28
28.02.2025 00:00:00.000,79.958,84.948,78.558,84.848,7332.12
03.03.2025 00:00:00.000,88.588,90.428,82.498,83.448,10251.84
04.03.2025 00:00:00.000,80.148,88.458,79.298,84.338,12547.8
05.03.2025 00:00:00.000,86.128,90.288,82.618,90.228,12203.4
06.03.2025 00:00:00.000,87.658,88.298,80.007,80.448,10512.96
07.03.2025 00:00:00.000,80.027,85.138,79.138,84.888,10002.12
10.03.2025 00:00:00.000,81.698,82.478,74.558,76.198,12077.7
11.03.2025 00:00:00.000,75.668,80.728,75.427,77.988,15231.96
12.03.2025 00:00:00.000,83.578,84.528,79.877,83.608,14394.24
13.03.2025 00:00:00.000,82.748,83.708,78.307,79.618,13415.76
14.03.2025 00:00:00.000,82.938,87.258,82.128,86.148,12480.12
17.03.2025 00:00:00.000,88.388,88.788,84.497,87.348,9918.72
18.03.2025 00:00:00.000,85.548,86.098,81.788,83.867,9625.92
19.03.2025 00:00:00.000,84.498,87.978,82.828,86.078,8901.24
20.03.2025 00:00:00.000,85.518,89.788,85.078,87.368,9722.76
21.03.2025 00:00:00.000,85.638,90.998,84.447,90.958,8732.4
24.03.2025 00:00:00.000,93.368,97.348,92.258,96.718,7134.84
25.03.2025 00:00:00.000,97.358,98.148,95.068,96.498,5682.6
26.03.2025 00:00:00.000,96.278,97.228,90.808,92.228,6099.84
27.03.2025 00:00:00.000,90.988,93.628,89.668,90.017,7785.9006
28.03.2025 00:00:00.000,89.337,89.338,84.097,85.698,7129.56
31.03.2025 00:00:00.000,80.008,84.628,78.728,84.358,8721.3604
01.04.2025 00:00:00.000,83.748,85.268,81.818,84.648,9248.4
02.04.2025 00:00:00.000,82.368,88.398,82.368,87.458,10141.8
03.04.2025 00:00:00.000,81.238,85.658,80.998,83.598,12135.064
04.04.2025 00:00:00.000,80.018,80.908,71.918,73.888,13521.96
07.04.2025 00:00:00.000,66.658,81.728,66.108,77.778,14067.24
08.04.2025 00:00:00.000,83.248,86.088,75.208,77.348,13497.96
09.04.2025 00:00:00.000,78.038,93.308,77.248,91.868,15290.19394
10.04.2025 00:00:00.000,88.368,90.747,84.118,88.538,14513.1
11.04.2025 00:00:00.000,87.998,89.518,85.468,88.477,13915.68
14.04.2025 00:00:00.000,95.748,97.288,91.448,92.558,10184.76
15.04.2025 00:00:00.000,93.537,98.968,93.037,98.398,8897.76
16.04.2025 00:00:00.000,96.238,97.288,89.608,92.707,8688.0
17.04.2025 00:00:00.000,94.558,95.088,92.267,93.678,8538.0
21.04.2025 00:00:00.000,92.778,96.468,89.307,90.788,8052.12
22.04.2025 00:00:00.000,93.137,96.328,91.337,93.948,6876.36
23.04.2025 00:00:00.000,98.858,103.538,97.797,100.788,9898.0806
24.04.2025 00:00:00.000,101.477,107.968,100.927,107.748,7725.84
25.04.2025 00:00:00.000,107.998,112.867,106.498,112.758,7768.44
28.04.2025 00:00:00.000,113.688,114.848,108.838,114.598,9814.68
29.04.2025 00:00:00.000,113.998,116.448,113.218,116.018,8745.0
30.04.2025 00:00:00.000,111.518,118.768,110.517,118.428,10125.12
01.05.2025 00:00:00.000,119.998,120.128,116.008,116.158,8971.44
02.05.2025 00:00:00.000,118.508,124.398,118.508,124.238,8965.92
05.05.2025 00:00:00.000,123.598,125.248,121.328,123.888,9063.96
06.05.2025 00:00:00.000,112.698,113.458,105.318,108.808,8853.72
07.05.2025 00:00:00.000,107.958,111.838,106.997,110.458,7300.08
08.05.2025 00:00:00.000,112.278,120.358,112.037,119.117,8946.36
09.05.2025 00:00:00.000,118.938,119.078,114.897,117.248,7152.48
12.05.2025 00:00:00.000,120.868,120.868,114.998,118.388,7334.16
13.05.2025 00:00:00.000,119.868,130.578,119.198,128.038,9517.44
14.05.2025 00:00:00.000,129.017,133.458,127.528,130.128,8825.52
15.05.2025 00:00:00.000,128.408,130.138,125.727,128.088,8425.68
16.05.2025 00:00:00.000,129.097,130.318,126.748,129.478,6841.32
19.05.2025 00:00:00.000,124.808,127.758,124.298,126.268,6267.24
20.05.2025 00:00:00.000,127.108,128.158,124.638,125.538,6936.6
21.05.2025 00:00:00.000,125.098,127.068,119.408,120.538,10404.96
22.05.2025 00:00:00.000,121.938,126.318,121.348,122.088,8483.16
23.05.2025 00:00:00.000,120.878,125.518,120.668,123.478,7742.16
27.05.2025 00:00:00.000,126.838,127.828,120.878,123.368,7184.88
28.05.2025 00:00:00.000,124.248,125.608,122.878,123.748,6636.2102
29.05.2025 00:00:00.000,125.348,126.438,121.528,122.138,8288.88
30.05.2025 00:00:00.000,123.497,131.908,122.728,131.817,10878.96
02.06.2025 00:00:00.000,131.588,134.448,128.837,132.048,9129.0
03.06.2025 00:00:00.000,133.028,135.258,130.088,133.008,8326.4715
04.06.2025 00:00:00.000,132.778,132.778,125.557,129.968,8250.24
05.06.2025 00:00:00.000,129.278,132.817,118.938,119.898,10979.76
06.06.2025 00:00:00.000,123.708,128.108,121.908,127.658,8005.92
09.06.2025 00:00:00.000,127.118,132.218,124.778,131.997,7347.24
10.06.2025 00:00:00.000,131.017,134.037,129.397,132.738,6736.56
11.06.2025 00:00:00.000,133.918,139.178,132.997,136.388,9167.64
12.06.2025 00:00:00.000,136.308,137.008,134.608,135.198,6421.2
13.06.2025 00:00:00.000,133.738,139.968,133.347,137.348,9988.08
16.06.2025 00:00:00.000,140.158,144.848,139.828,141.327,7482.72
17.06.2025 00:00:00.000,141.468,141.678,136.058,138.197,7121.52
18.06.2025 00:00:00.000,138.938,140.308,137.497,139.868,7626.36
20.06.2025 00:00:00.000,140.508,142.157,136.737,137.538,8199.48
23.06.2025 00:00:00.000,138.868,142.128,135.968,139.898,9041.64
24.06.2025 00:00:00.000,140.978,143.638,137.778,143.178,5432.04
25.06.2025 00:00:00.000,144.477,147.648,141.527,142.848,6451.32
26.06.2025 00:00:00.000,144.847,148.198,142.908,144.268,6045.6
27.06.2025 00:00:00.000,144.858,144.858,130.558,130.618,7934.28
30.06.2025 00:00:00.000,137.788,138.868,134.797,136.278,7111.56
01.07.2025 00:00:00.000,135.158,136.288,128.498,130.698,8882.28
02.07.2025 00:00:00.000,131.428,133.488,130.188,132.108,5681.88
03.07.2025 00:00:00.000,134.318,135.588,132.498,134.258,3918.0
07.07.2025 00:00:00.000,134.318,139.268,132.287,139.118,6908.76
08.07.2025 00:00:00.000,138.838,139.848,135.777,139.698,5994.72
09.07.2025 00:00:00.000,139.508,143.138,137.257,143.108,6384.48
10.07.2025 00:00:00.000,143.327,145.098,139.527,142.298,6748.32
11.07.2025 00:00:00.000,142.078,144.558,141.777,142.008,6500.04
14.07.2025 00:00:00.000,142.568,149.558,142.217,149.158,6719.64
15.07.2025 00:00:00.000,148.828,150.588,147.368,148.508,6476.4
16.07.2025 00:00:00.000,149.168,151.478,147.668,150.908,6818.64
17.07.2025 00:00:00.000,151.558,155.658,150.807,153.778,5823.72
18.07.2025 00:00:00.000,154.538,154.808,151.898,153.528,5808.48
21.07.2025 00:00:00.000,153.788,155.418,151.347,151.787,5048.16
22.07.2025 00:00:00.000,150.858,151.718,145.048,149.088,6294.6
23.07.2025 00:00:00.000,149.748,154.628,148.248,154.598,5699.04
